method;top1;top3;top5
grads;0.162;0.273;0.376
grads_x_inputs;0.136;0.244;0.357
ig_20;0.330;0.370;0.427
ig_50;0.328;0.368;0.428
ig_100;0.331;0.367;0.426
sg_20;0.153;0.254;0.359
sg_50;0.147;0.246;0.358
sg_100;0.148;0.268;0.373
sg_20_x_inputs;0.395;0.421;0.465
sg_50_x_inputs;0.418;0.436;0.473
sg_100_x_inputs;0.422;0.441;0.477
ks_100;0.340;0.390;0.443
ks_200;0.381;0.428;0.476
ks_500;0.415;0.470;0.499
relprop;0.349;0.375;0.439
random;0.054;0.190;0.334
