method;top1;top3;top5
grads;0.174;0.286;0.381
grads_x_inputs;0.126;0.241;0.354
ig_20;0.347;0.372;0.427
ig_50;0.352;0.373;0.426
ig_100;0.356;0.373;0.425
sg_20;0.151;0.258;0.361
sg_50;0.145;0.254;0.363
sg_100;0.151;0.257;0.363
sg_20_x_inputs;0.417;0.421;0.463
sg_50_x_inputs;0.428;0.431;0.465
sg_100_x_inputs;0.446;0.441;0.473
ks_100;0.364;0.406;0.452
ks_200;0.400;0.442;0.485
ks_500;0.418;0.478;0.512
relprop;0.357;0.407;0.463
random;0.056;0.198;0.338
