method;top1;top3;top5
grads;0.175;0.273;0.372
grads_x_inputs;0.118;0.242;0.358
ig_20;0.377;0.416;0.464
ig_50;0.380;0.415;0.465
ig_100;0.379;0.415;0.465
sg_20;0.154;0.252;0.365
sg_50;0.133;0.261;0.364
sg_100;0.159;0.263;0.364
sg_20_x_inputs;0.404;0.429;0.475
sg_50_x_inputs;0.427;0.454;0.486
sg_100_x_inputs;0.425;0.456;0.494
ks_100;0.343;0.375;0.438
ks_200;0.391;0.418;0.465
ks_500;0.427;0.452;0.485
relprop;0.290;0.358;0.440
random;0.070;0.198;0.332
