method;top1;top3;top5
grads;0.181;0.280;0.382
grads_x_inputs;0.246;0.329;0.414
ig_20;0.329;0.380;0.454
ig_50;0.332;0.377;0.454
ig_100;0.333;0.376;0.453
sg_20;0.109;0.240;0.360
sg_50;0.129;0.246;0.362
sg_100;0.141;0.245;0.357
sg_20_x_inputs;0.391;0.427;0.473
sg_50_x_inputs;0.408;0.452;0.486
sg_100_x_inputs;0.445;0.464;0.493
relprop;0.399;0.436;0.489
random;0.050;0.191;0.336
