method;top1;top3;top5
grads;0.156;0.272;0.378
grads_x_inputs;0.251;0.335;0.409
ig_20;0.386;0.439;0.498
ig_50;0.385;0.440;0.496
ig_100;0.385;0.440;0.496
sg_20;0.125;0.254;0.364
sg_50;0.154;0.252;0.372
sg_100;0.151;0.255;0.367
sg_20_x_inputs;0.415;0.444;0.479
sg_50_x_inputs;0.437;0.463;0.495
sg_100_x_inputs;0.440;0.471;0.499
relprop;0.399;0.450;0.500
random;0.062;0.195;0.339
