method;top1;top3;top5
grads;0.137;0.262;0.368
grads_x_inputs;0.125;0.233;0.341
ig_20;0.216;0.335;0.432
ig_50;0.243;0.354;0.440
ig_100;0.258;0.362;0.446
sg_20;0.130;0.234;0.346
sg_50;0.125;0.235;0.352
sg_100;0.105;0.229;0.358
sg_20_x_inputs;0.315;0.386;0.448
sg_50_x_inputs;0.325;0.385;0.450
sg_100_x_inputs;0.341;0.406;0.466
ks_100;0.315;0.342;0.425
ks_200;0.361;0.385;0.450
ks_500;0.400;0.424;0.469
relprop;0.218;0.335;0.446
random;0.056;0.187;0.326
