method;top1;top3;top5
grads;0.120;0.249;0.365
grads_x_inputs;0.111;0.239;0.356
ig_20;0.301;0.382;0.450
ig_50;0.301;0.382;0.450
ig_100;0.306;0.386;0.451
sg_20;0.118;0.244;0.362
sg_50;0.126;0.243;0.366
sg_100;0.105;0.240;0.366
sg_20_x_inputs;0.272;0.347;0.434
sg_50_x_inputs;0.278;0.362;0.439
sg_100_x_inputs;0.288;0.367;0.444
ks_100;0.245;0.353;0.443
ks_200;0.291;0.404;0.479
ks_500;0.340;0.445;0.511
random;0.058;0.191;0.338
