method;top1;top3;top5
grads;0.145;0.260;0.371
grads_x_inputs;0.097;0.222;0.340
ig_20;0.205;0.308;0.417
ig_50;0.216;0.322;0.425
ig_100;0.242;0.334;0.431
sg_20;0.112;0.229;0.351
sg_50;0.120;0.231;0.351
sg_100;0.121;0.233;0.354
sg_20_x_inputs;0.301;0.365;0.441
sg_50_x_inputs;0.321;0.368;0.443
sg_100_x_inputs;0.321;0.384;0.458
ks_100;0.335;0.354;0.422
ks_200;0.369;0.387;0.447
ks_500;0.406;0.421;0.470
relprop;0.258;0.366;0.459
random;0.057;0.195;0.329
