method;top1;top3;top5
grads;0.150;0.270;0.373
grads_x_inputs;0.122;0.238;0.350
ig_20;0.284;0.355;0.442
ig_50;0.300;0.366;0.452
ig_100;0.307;0.374;0.453
sg_20;0.130;0.242;0.351
sg_50;0.120;0.246;0.361
sg_100;0.109;0.226;0.344
sg_20_x_inputs;0.331;0.396;0.456
sg_50_x_inputs;0.364;0.404;0.462
sg_100_x_inputs;0.360;0.418;0.468
ks_100;0.322;0.345;0.418
ks_200;0.384;0.393;0.445
ks_500;0.408;0.422;0.467
relprop;0.297;0.376;0.461
random;0.050;0.195;0.331
