method;top5;top10;top15
grads;0.163;0.232;0.287
grads_x_inputs;0.133;0.207;0.265
ig_20;0.187;0.267;0.339
ig_50;0.189;0.267;0.340
ig_100;0.188;0.264;0.338
sg_20;0.147;0.219;0.271
sg_50;0.149;0.221;0.270
sg_100;0.141;0.204;0.255
sg_20_x_inputs;0.256;0.337;0.396
sg_50_x_inputs;0.268;0.339;0.395
sg_100_x_inputs;0.271;0.345;0.405
ks_100;0.106;0.170;0.222
ks_200;0.089;0.153;0.201
ks_500;0.133;0.195;0.240
relprop;0.215;0.295;0.365
random;0.052;0.124;0.183
