method;top5;top10;top15
grads;0.171;0.232;0.279
grads_x_inputs;0.131;0.202;0.252
ig_20;0.204;0.274;0.329
ig_50;0.202;0.275;0.330
ig_100;0.203;0.278;0.332
sg_20;0.135;0.203;0.259
sg_50;0.159;0.220;0.278
sg_100;0.149;0.218;0.281
sg_20_x_inputs;0.251;0.337;0.400
sg_50_x_inputs;0.257;0.346;0.401
sg_100_x_inputs;0.259;0.346;0.407
ks_100;0.110;0.169;0.228
ks_200;0.101;0.172;0.224
ks_500;0.149;0.222;0.271
relprop;0.186;0.268;0.331
random;0.045;0.108;0.158
