method;top5;top10;top15
grads;0.168;0.244;0.288
grads_x_inputs;0.147;0.222;0.290
ig_20;0.227;0.308;0.370
ig_50;0.224;0.306;0.368
ig_100;0.225;0.306;0.369
sg_20;0.159;0.235;0.297
sg_50;0.157;0.244;0.295
sg_100;0.173;0.249;0.309
sg_20_x_inputs;0.288;0.375;0.429
sg_50_x_inputs;0.292;0.379;0.429
sg_100_x_inputs;0.294;0.383;0.440
ks_100;0.110;0.177;0.232
ks_200;0.113;0.178;0.228
ks_500;0.171;0.245;0.290
relprop;0.126;0.230;0.303
random;0.054;0.126;0.188
