method;top5;top10;top15
grads;0.176;0.247;0.297
grads_x_inputs;0.148;0.220;0.286
ig_20;0.239;0.315;0.385
ig_50;0.238;0.317;0.379
ig_100;0.238;0.315;0.383
sg_20;0.174;0.246;0.314
sg_50;0.185;0.262;0.318
sg_100;0.177;0.259;0.312
sg_20_x_inputs;0.303;0.384;0.442
sg_50_x_inputs;0.310;0.383;0.446
sg_100_x_inputs;0.318;0.395;0.451
ks_100;0.110;0.177;0.228
ks_200;0.103;0.172;0.228
ks_500;0.147;0.221;0.278
relprop;0.211;0.313;0.375
random;0.047;0.118;0.182
