method;top5;top10;top15
grads;0.160;0.223;0.284
grads_x_inputs;0.151;0.225;0.285
ig_20;0.197;0.273;0.332
ig_50;0.195;0.267;0.330
ig_100;0.194;0.266;0.328
sg_20;0.128;0.203;0.250
sg_50;0.132;0.200;0.261
sg_100;0.157;0.239;0.292
sg_20_x_inputs;0.246;0.323;0.370
sg_50_x_inputs;0.256;0.324;0.378
sg_100_x_inputs;0.261;0.331;0.372
ks_100;0.100;0.165;0.237
ks_200;0.094;0.167;0.223
ks_500;0.137;0.213;0.268
relprop;0.209;0.305;0.362
random;0.051;0.113;0.171
