method;top5;top10;top15
grads;0.167;0.250;0.312
grads_x_inputs;0.129;0.203;0.267
ig_20;0.242;0.338;0.413
ig_50;0.244;0.337;0.412
ig_100;0.243;0.337;0.413
sg_20;0.147;0.224;0.285
sg_50;0.147;0.227;0.294
sg_100;0.147;0.230;0.293
sg_20_x_inputs;0.262;0.362;0.432
sg_50_x_inputs;0.265;0.366;0.435
sg_100_x_inputs;0.268;0.370;0.439
ks_100;0.111;0.186;0.250
ks_200;0.112;0.188;0.250
ks_500;0.152;0.241;0.305
relprop;0.240;0.362;0.443
random;0.059;0.125;0.188
