method;top5;top10;top15
grads;0.174;0.249;0.312
grads_x_inputs;0.132;0.213;0.283
ig_20;0.252;0.355;0.431
ig_50;0.252;0.354;0.431
ig_100;0.253;0.354;0.431
sg_20;0.175;0.258;0.321
sg_50;0.176;0.264;0.329
sg_100;0.180;0.266;0.333
sg_20_x_inputs;0.286;0.401;0.467
sg_50_x_inputs;0.291;0.400;0.474
sg_100_x_inputs;0.292;0.405;0.475
ks_100;0.113;0.185;0.251
ks_200;0.108;0.186;0.248
ks_500;0.151;0.232;0.298
relprop;0.123;0.239;0.327
random;0.055;0.125;0.193
