method;top5;top10;top15
grads;0.179;0.258;0.324
grads_x_inputs;0.140;0.215;0.280
ig_20;0.274;0.369;0.440
ig_50;0.274;0.368;0.438
ig_100;0.273;0.368;0.437
sg_20;0.170;0.254;0.316
sg_50;0.168;0.255;0.319
sg_100;0.171;0.258;0.324
sg_20_x_inputs;0.289;0.395;0.458
sg_50_x_inputs;0.294;0.402;0.463
sg_100_x_inputs;0.291;0.404;0.467
ks_100;0.115;0.190;0.256
ks_200;0.123;0.201;0.257
ks_500;0.170;0.250;0.310
relprop;0.235;0.345;0.422
random;0.056;0.126;0.191
