method;top5;top10;top15
grads;0.169;0.253;0.318
grads_x_inputs;0.122;0.196;0.260
ig_20;0.267;0.370;0.439
ig_50;0.267;0.371;0.440
ig_100;0.267;0.372;0.440
sg_20;0.165;0.251;0.320
sg_50;0.165;0.250;0.314
sg_100;0.166;0.251;0.315
sg_20_x_inputs;0.264;0.363;0.422
sg_50_x_inputs;0.267;0.367;0.430
sg_100_x_inputs;0.270;0.367;0.431
ks_100;0.124;0.202;0.263
ks_200;0.122;0.197;0.258
ks_500;0.164;0.256;0.319
relprop;0.243;0.355;0.432
random;0.057;0.125;0.192
