method;top5;top10;top15
grads;0.157;0.234;0.296
grads_x_inputs;0.103;0.177;0.240
ig_20;0.241;0.349;0.421
ig_50;0.242;0.347;0.420
ig_100;0.242;0.347;0.420
sg_20;0.147;0.226;0.287
sg_50;0.152;0.230;0.290
sg_100;0.146;0.231;0.294
sg_20_x_inputs;0.253;0.360;0.430
sg_50_x_inputs;0.260;0.368;0.436
sg_100_x_inputs;0.261;0.367;0.439
ks_100;0.110;0.183;0.246
ks_200;0.114;0.190;0.251
ks_500;0.156;0.241;0.301
relprop;0.246;0.353;0.427
random;0.058;0.125;0.188
