method;top5;top10;top15
grads;0.045;0.075;0.103
grads_x_inputs;0.031;0.053;0.083
ig_20;0.043;0.079;0.103
ig_50;0.044;0.072;0.103
ig_100;0.044;0.073;0.106
sg_20;0.045;0.074;0.103
sg_50;0.041;0.081;0.122
sg_100;0.043;0.079;0.115
sg_20_x_inputs;0.043;0.082;0.109
sg_50_x_inputs;0.039;0.081;0.122
sg_100_x_inputs;0.041;0.072;0.112
ks_100;0.021;0.063;0.097
ks_200;0.026;0.057;0.091
ks_500;0.024;0.068;0.110
random;0.024;0.059;0.094
