method;top5;top10;top15
grads;0.038;0.067;0.095
grads_x_inputs;0.035;0.071;0.108
ig_20;0.051;0.084;0.130
ig_50;0.052;0.082;0.128
ig_100;0.052;0.082;0.129
sg_20;0.043;0.073;0.105
sg_50;0.041;0.073;0.108
sg_100;0.046;0.072;0.108
sg_20_x_inputs;0.050;0.092;0.132
sg_50_x_inputs;0.049;0.086;0.134
sg_100_x_inputs;0.049;0.090;0.132
ks_100;0.020;0.070;0.107
ks_200;0.031;0.067;0.102
ks_500;0.032;0.066;0.106
random;0.025;0.070;0.116
