method;top5;top10;top15
grads;0.038;0.077;0.102
grads_x_inputs;0.037;0.063;0.092
ig_20;0.045;0.093;0.138
ig_50;0.047;0.098;0.142
ig_100;0.048;0.094;0.142
sg_20;0.038;0.076;0.109
sg_50;0.042;0.082;0.114
sg_100;0.047;0.089;0.122
sg_20_x_inputs;0.041;0.083;0.118
sg_50_x_inputs;0.042;0.074;0.100
sg_100_x_inputs;0.042;0.082;0.113
ks_100;0.030;0.067;0.103
ks_200;0.027;0.059;0.096
ks_500;0.031;0.064;0.094
random;0.025;0.053;0.092
