method;top5;top10;top15
grads;0.184;0.279;0.342
grads_x_inputs;0.165;0.251;0.312
ig_20;0.294;0.400;0.476
ig_50;0.295;0.401;0.481
ig_100;0.296;0.401;0.480
sg_20;0.191;0.281;0.347
sg_50;0.184;0.270;0.339
sg_100;0.188;0.275;0.340
sg_20_x_inputs;0.292;0.382;0.455
sg_50_x_inputs;0.303;0.393;0.464
sg_100_x_inputs;0.308;0.397;0.469
ks_100;0.146;0.234;0.303
ks_200;0.153;0.233;0.299
ks_500;0.198;0.281;0.352
random;0.106;0.186;0.251
