method;top5;top10;top15
grads;0.182;0.275;0.339
grads_x_inputs;0.194;0.285;0.351
ig_20;0.309;0.421;0.499
ig_50;0.311;0.424;0.497
ig_100;0.311;0.424;0.494
sg_20;0.182;0.274;0.340
sg_50;0.188;0.278;0.345
sg_100;0.189;0.278;0.346
sg_20_x_inputs;0.297;0.400;0.468
sg_50_x_inputs;0.307;0.408;0.476
sg_100_x_inputs;0.309;0.413;0.486
ks_100;0.162;0.254;0.320
ks_200;0.157;0.239;0.306
ks_500;0.202;0.290;0.357
random;0.104;0.188;0.252
