method;top1;top3;top5
grads;0.162;0.269;0.370
grads_x_inputs;0.134;0.253;0.358
ig_20;0.298;0.383;0.464
ig_50;0.320;0.395;0.472
ig_100;0.328;0.397;0.473
sg_20;0.134;0.234;0.351
sg_50;0.130;0.237;0.348
sg_100;0.125;0.242;0.359
sg_20_x_inputs;0.348;0.412;0.469
sg_50_x_inputs;0.378;0.426;0.481
sg_100_x_inputs;0.378;0.436;0.487
relprop;0.280;0.364;0.455
random;0.051;0.201;0.332
