method;top1;top3;top5
grads;0.132;0.258;0.369
grads_x_inputs;0.122;0.234;0.350
ig_20;0.285;0.364;0.447
ig_50;0.313;0.370;0.449
ig_100;0.312;0.368;0.451
sg_20;0.115;0.222;0.346
sg_50;0.122;0.242;0.356
sg_100;0.119;0.233;0.348
sg_20_x_inputs;0.313;0.385;0.450
sg_50_x_inputs;0.339;0.387;0.456
sg_100_x_inputs;0.354;0.405;0.464
relprop;0.328;0.386;0.461
random;0.053;0.194;0.330
