method;top1;top3;top5
grads;0.155;0.271;0.371
grads_x_inputs;0.117;0.229;0.348
ig_20;0.261;0.346;0.431
ig_50;0.296;0.368;0.442
ig_100;0.303;0.373;0.447
sg_20;0.122;0.244;0.357
sg_50;0.133;0.238;0.352
sg_100;0.120;0.236;0.355
sg_20_x_inputs;0.335;0.392;0.452
sg_50_x_inputs;0.347;0.401;0.464
sg_100_x_inputs;0.353;0.420;0.466
relprop;0.332;0.382;0.459
random;0.054;0.194;0.328
