method;top1;top3;top5
grads;0.152;0.278;0.377
grads_x_inputs;0.112;0.217;0.334
ig_20;0.276;0.361;0.448
ig_50;0.308;0.379;0.462
ig_100;0.315;0.391;0.464
sg_20;0.126;0.243;0.358
sg_50;0.128;0.226;0.353
sg_100;0.123;0.237;0.355
sg_20_x_inputs;0.344;0.396;0.459
sg_50_x_inputs;0.369;0.406;0.465
sg_100_x_inputs;0.370;0.421;0.472
relprop;0.363;0.410;0.481
random;0.056;0.194;0.329
