method;top1;top3;top5
grads;0.151;0.272;0.368
grads_x_inputs;0.121;0.246;0.357
ig_20;0.227;0.331;0.427
ig_50;0.256;0.346;0.434
ig_100;0.268;0.353;0.440
sg_20;0.130;0.246;0.362
sg_50;0.128;0.239;0.356
sg_100;0.126;0.236;0.351
sg_20_x_inputs;0.347;0.395;0.462
sg_50_x_inputs;0.362;0.406;0.465
sg_100_x_inputs;0.362;0.424;0.469
relprop;0.245;0.324;0.430
random;0.065;0.188;0.323
