method;top1;top3;top5
grads;0.151;0.266;0.374
grads_x_inputs;0.135;0.250;0.352
ig_20;0.237;0.311;0.412
ig_50;0.233;0.319;0.420
ig_100;0.259;0.331;0.432
sg_20;0.129;0.232;0.355
sg_50;0.127;0.232;0.354
sg_100;0.116;0.238;0.354
sg_20_x_inputs;0.316;0.368;0.444
sg_50_x_inputs;0.330;0.385;0.453
sg_100_x_inputs;0.353;0.394;0.459
relprop;0.275;0.378;0.468
random;0.059;0.197;0.332
