method;top1;top3;top5
grads;0.146;0.274;0.370
grads_x_inputs;0.127;0.232;0.351
ig_20;0.221;0.319;0.413
ig_50;0.272;0.345;0.431
ig_100;0.289;0.354;0.438
sg_20;0.129;0.243;0.363
sg_50;0.127;0.245;0.360
sg_100;0.118;0.244;0.354
sg_20_x_inputs;0.323;0.390;0.454
sg_50_x_inputs;0.327;0.387;0.456
sg_100_x_inputs;0.337;0.401;0.462
relprop;0.354;0.391;0.465
random;0.056;0.189;0.323
