method;top1;top3;top5
grads;0.146;0.271;0.373
grads_x_inputs;0.112;0.227;0.339
ig_20;0.288;0.382;0.463
ig_50;0.320;0.393;0.466
ig_100;0.315;0.396;0.466
sg_20;0.146;0.245;0.359
sg_50;0.150;0.257;0.361
sg_100;0.134;0.252;0.357
sg_20_x_inputs;0.360;0.410;0.465
sg_50_x_inputs;0.384;0.423;0.473
sg_100_x_inputs;0.389;0.432;0.478
relprop;0.335;0.399;0.472
random;0.058;0.197;0.332
