method;top1;top3;top5
grads;0.158;0.264;0.371
grads_x_inputs;0.118;0.229;0.346
ig_20;0.294;0.341;0.433
ig_50;0.319;0.360;0.439
ig_100;0.319;0.364;0.443
sg_20;0.137;0.247;0.360
sg_50;0.131;0.244;0.366
sg_100;0.144;0.251;0.356
sg_20_x_inputs;0.349;0.394;0.452
sg_50_x_inputs;0.384;0.409;0.458
sg_100_x_inputs;0.384;0.419;0.468
relprop;0.361;0.404;0.468
random;0.054;0.196;0.328
