method;top1;top3;top5
grads;0.161;0.276;0.376
grads_x_inputs;0.157;0.269;0.373
ig_20;0.313;0.369;0.438
ig_50;0.319;0.371;0.436
ig_100;0.318;0.371;0.436
sg_20;0.157;0.265;0.365
sg_50;0.145;0.258;0.366
sg_100;0.147;0.263;0.373
sg_20_x_inputs;0.406;0.437;0.475
sg_50_x_inputs;0.420;0.450;0.484
sg_100_x_inputs;0.418;0.459;0.489
relprop;0.315;0.391;0.466
random;0.054;0.194;0.334
