method;top1;top3;top5
grads;0.183;0.290;0.385
grads_x_inputs;0.157;0.244;0.345
ig_20;0.398;0.418;0.446
ig_50;0.400;0.417;0.445
ig_100;0.402;0.418;0.445
sg_20;0.152;0.256;0.374
sg_50;0.137;0.253;0.370
sg_100;0.151;0.263;0.367
sg_20_x_inputs;0.433;0.457;0.489
sg_50_x_inputs;0.459;0.472;0.506
sg_100_x_inputs;0.461;0.481;0.510
relprop;0.324;0.389;0.459
random;0.063;0.192;0.334
