method;top1;top3;top5
grads;0.182;0.281;0.380
grads_x_inputs;0.156;0.247;0.348
ig_20;0.362;0.396;0.437
ig_50;0.360;0.394;0.438
ig_100;0.362;0.396;0.438
sg_20;0.141;0.247;0.360
sg_50;0.133;0.255;0.364
sg_100;0.156;0.258;0.371
sg_20_x_inputs;0.391;0.421;0.468
sg_50_x_inputs;0.403;0.442;0.484
sg_100_x_inputs;0.411;0.452;0.485
relprop;0.271;0.357;0.446
random;0.052;0.193;0.330
