method;top1;top3;top5
grads;0.174;0.281;0.383
grads_x_inputs;0.144;0.249;0.355
ig_20;0.406;0.427;0.466
ig_50;0.407;0.428;0.466
ig_100;0.407;0.428;0.467
sg_20;0.156;0.271;0.372
sg_50;0.162;0.260;0.365
sg_100;0.156;0.264;0.369
sg_20_x_inputs;0.426;0.444;0.476
sg_50_x_inputs;0.439;0.460;0.490
sg_100_x_inputs;0.439;0.466;0.495
relprop;0.362;0.400;0.471
random;0.062;0.203;0.335
