method;top1;top3;top5
grads;0.168;0.275;0.372
grads_x_inputs;0.150;0.248;0.351
ig_20;0.401;0.429;0.473
ig_50;0.403;0.429;0.470
ig_100;0.403;0.427;0.472
sg_20;0.138;0.248;0.359
sg_50;0.135;0.250;0.362
sg_100;0.153;0.260;0.371
sg_20_x_inputs;0.402;0.428;0.472
sg_50_x_inputs;0.410;0.443;0.481
sg_100_x_inputs;0.414;0.447;0.485
relprop;0.328;0.380;0.456
random;0.063;0.200;0.333
