method;top1;top3;top5
grads;0.171;0.276;0.371
grads_x_inputs;0.146;0.246;0.348
ig_20;0.360;0.402;0.451
ig_50;0.362;0.402;0.449
ig_100;0.363;0.402;0.450
sg_20;0.150;0.262;0.367
sg_50;0.158;0.272;0.375
sg_100;0.153;0.265;0.368
sg_20_x_inputs;0.440;0.473;0.500
sg_50_x_inputs;0.444;0.484;0.509
sg_100_x_inputs;0.467;0.495;0.520
relprop;0.362;0.425;0.494
random;0.065;0.198;0.329
