method;top1;top3;top5
grads;0.169;0.278;0.381
grads_x_inputs;0.149;0.242;0.352
ig_20;0.372;0.398;0.448
ig_50;0.376;0.399;0.450
ig_100;0.377;0.400;0.449
sg_20;0.153;0.259;0.374
sg_50;0.158;0.259;0.377
sg_100;0.154;0.264;0.372
sg_20_x_inputs;0.449;0.468;0.496
sg_50_x_inputs;0.469;0.479;0.512
sg_100_x_inputs;0.460;0.492;0.513
relprop;0.351;0.391;0.468
random;0.059;0.202;0.339
