method;top1;top3;top5
grads;0.171;0.277;0.380
grads_x_inputs;0.151;0.245;0.344
ig_20;0.344;0.385;0.435
ig_50;0.341;0.384;0.436
ig_100;0.343;0.384;0.435
sg_20;0.147;0.265;0.371
sg_50;0.147;0.259;0.361
sg_100;0.147;0.257;0.371
sg_20_x_inputs;0.389;0.435;0.469
sg_50_x_inputs;0.432;0.447;0.484
sg_100_x_inputs;0.423;0.456;0.487
relprop;0.314;0.375;0.455
random;0.054;0.196;0.332
