method;top1;top3;top5
grads;0.145;0.263;0.374
grads_x_inputs;0.119;0.227;0.355
ig_20;0.233;0.331;0.430
ig_50;0.276;0.356;0.445
ig_100;0.283;0.364;0.450
sg_20;0.115;0.239;0.354
sg_50;0.109;0.229;0.359
sg_100;0.125;0.231;0.347
sg_20_x_inputs;0.304;0.378;0.454
sg_50_x_inputs;0.335;0.387;0.458
sg_100_x_inputs;0.342;0.401;0.462
ks_100;0.329;0.365;0.437
ks_200;0.377;0.396;0.455
ks_500;0.417;0.434;0.479
relprop;0.273;0.362;0.448
random;0.061;0.192;0.330
