method;top1;top3;top5
grads;0.155;0.270;0.375
grads_x_inputs;0.107;0.227;0.344
ig_20;0.275;0.336;0.441
ig_50;0.306;0.351;0.443
ig_100;0.314;0.358;0.447
sg_20;0.118;0.236;0.354
sg_50;0.115;0.247;0.354
sg_100;0.121;0.236;0.355
sg_20_x_inputs;0.313;0.381;0.445
sg_50_x_inputs;0.322;0.383;0.459
sg_100_x_inputs;0.348;0.400;0.469
ks_100;0.323;0.357;0.429
ks_200;0.363;0.387;0.452
ks_500;0.401;0.431;0.475
relprop;0.293;0.365;0.447
random;0.050;0.200;0.330
