method;top1;top3;top5
grads;0.144;0.265;0.372
grads_x_inputs;0.117;0.238;0.353
ig_20;0.204;0.332;0.428
ig_50;0.243;0.343;0.439
ig_100;0.258;0.352;0.444
sg_20;0.117;0.228;0.351
sg_50;0.112;0.229;0.353
sg_100;0.112;0.230;0.352
sg_20_x_inputs;0.306;0.364;0.441
sg_50_x_inputs;0.312;0.370;0.449
sg_100_x_inputs;0.336;0.390;0.462
ks_100;0.315;0.348;0.421
ks_200;0.356;0.379;0.438
ks_500;0.384;0.418;0.468
relprop;0.223;0.354;0.456
random;0.053;0.190;0.325
