method;top1;top3;top5
grads;0.144;0.268;0.371
grads_x_inputs;0.110;0.231;0.355
ig_20;0.263;0.345;0.438
ig_50;0.297;0.370;0.452
ig_100;0.305;0.373;0.458
sg_20;0.124;0.227;0.350
sg_50;0.120;0.235;0.357
sg_100;0.129;0.235;0.360
sg_20_x_inputs;0.323;0.377;0.450
sg_50_x_inputs;0.335;0.398;0.458
sg_100_x_inputs;0.364;0.402;0.473
ks_100;0.330;0.361;0.423
ks_200;0.369;0.392;0.449
ks_500;0.404;0.433;0.479
relprop;0.238;0.347;0.448
random;0.061;0.189;0.327
