method;top1;top3;top5
grads;0.176;0.286;0.384
grads_x_inputs;0.257;0.338;0.414
ig_20;0.345;0.388;0.453
ig_50;0.341;0.385;0.452
ig_100;0.341;0.385;0.451
sg_20;0.134;0.251;0.365
sg_50;0.127;0.250;0.362
sg_100;0.128;0.242;0.360
sg_20_x_inputs;0.382;0.428;0.473
sg_50_x_inputs;0.414;0.451;0.485
sg_100_x_inputs;0.432;0.465;0.494
relprop;0.398;0.438;0.486
random;0.058;0.193;0.330
