method;top1;top3;top5
grads;0.164;0.279;0.380
grads_x_inputs;0.209;0.323;0.408
ig_20;0.383;0.452;0.499
ig_50;0.382;0.452;0.499
ig_100;0.382;0.452;0.499
sg_20;0.137;0.255;0.359
sg_50;0.121;0.247;0.365
sg_100;0.131;0.251;0.365
sg_20_x_inputs;0.423;0.465;0.492
sg_50_x_inputs;0.452;0.476;0.505
sg_100_x_inputs;0.459;0.484;0.510
relprop;0.381;0.440;0.491
random;0.066;0.193;0.339
