method;top5;top10;top15
grads;0.177;0.270;0.326
grads_x_inputs;0.204;0.306;0.368
ig_20;0.296;0.390;0.465
ig_50;0.293;0.397;0.471
ig_100;0.296;0.401;0.479
sg_20;0.158;0.235;0.296
sg_50;0.173;0.254;0.308
sg_100;0.162;0.244;0.304
sg_20_x_inputs;0.289;0.391;0.456
sg_50_x_inputs;0.299;0.385;0.454
sg_100_x_inputs;0.300;0.389;0.454
ks_100;0.149;0.246;0.311
ks_200;0.158;0.237;0.302
ks_500;0.205;0.284;0.333
random;0.105;0.183;0.248
