method;top5;top10;top15
grads;0.056;0.101;0.133
grads_x_inputs;0.040;0.062;0.089
ig_20;0.065;0.139;0.188
ig_50;0.062;0.149;0.202
ig_100;0.062;0.156;0.206
sg_20;0.048;0.106;0.139
sg_50;0.066;0.101;0.136
sg_100;0.045;0.092;0.115
sg_20_x_inputs;0.033;0.096;0.150
sg_50_x_inputs;0.035;0.086;0.157
sg_100_x_inputs;0.049;0.086;0.175
ks_100;0.022;0.057;0.078
ks_200;0.026;0.058;0.100
ks_500;0.023;0.075;0.112
random;0.037;0.072;0.102
