method;top5;top10;top15
grads;0.184;0.278;0.338
grads_x_inputs;0.204;0.283;0.353
ig_20;0.290;0.381;0.459
ig_50;0.289;0.377;0.457
ig_100;0.288;0.379;0.456
sg_20;0.195;0.268;0.324
sg_50;0.185;0.275;0.331
sg_100;0.189;0.280;0.337
sg_20_x_inputs;0.294;0.396;0.461
sg_50_x_inputs;0.297;0.392;0.474
sg_100_x_inputs;0.299;0.407;0.482
ks_100;0.158;0.239;0.305
ks_200;0.147;0.232;0.297
ks_500;0.182;0.269;0.329
random;0.101;0.183;0.247
