method;top5;top10;top15
grads;0.042;0.080;0.120
grads_x_inputs;0.047;0.095;0.141
ig_20;0.068;0.129;0.174
ig_50;0.072;0.129;0.174
ig_100;0.072;0.129;0.174
sg_20;0.048;0.083;0.119
sg_50;0.057;0.102;0.142
sg_100;0.044;0.091;0.111
sg_20_x_inputs;0.058;0.114;0.172
sg_50_x_inputs;0.070;0.120;0.180
sg_100_x_inputs;0.061;0.120;0.192
ks_100;0.025;0.057;0.087
ks_200;0.015;0.058;0.081
ks_500;0.028;0.072;0.094
random;0.023;0.047;0.074
