method;top5;top10;top15
grads;0.063;0.106;0.149
grads_x_inputs;0.040;0.064;0.096
ig_20;0.057;0.115;0.177
ig_50;0.065;0.123;0.173
ig_100;0.061;0.123;0.169
sg_20;0.056;0.101;0.141
sg_50;0.069;0.105;0.142
sg_100;0.046;0.079;0.122
sg_20_x_inputs;0.032;0.098;0.169
sg_50_x_inputs;0.037;0.093;0.157
sg_100_x_inputs;0.045;0.117;0.191
ks_100;0.011;0.052;0.101
ks_200;0.023;0.038;0.076
ks_500;0.011;0.031;0.055
random;0.016;0.055;0.071
