method;top5;top10;top15
grads;0.189;0.276;0.328
grads_x_inputs;0.208;0.291;0.355
ig_20;0.309;0.423;0.487
ig_50;0.313;0.425;0.486
ig_100;0.314;0.424;0.486
sg_20;0.178;0.266;0.320
sg_50;0.173;0.256;0.307
sg_100;0.189;0.271;0.324
sg_20_x_inputs;0.321;0.404;0.456
sg_50_x_inputs;0.332;0.407;0.466
sg_100_x_inputs;0.335;0.416;0.469
ks_100;0.156;0.247;0.311
ks_200;0.169;0.239;0.287
ks_500;0.192;0.271;0.343
random;0.101;0.173;0.236
