method;top5;top10;top15
grads;0.152;0.212;0.263
grads_x_inputs;0.139;0.213;0.270
ig_20;0.251;0.324;0.374
ig_50;0.252;0.325;0.374
ig_100;0.252;0.324;0.374
sg_20;0.157;0.219;0.263
sg_50;0.170;0.230;0.273
sg_100;0.164;0.228;0.274
sg_20_x_inputs;0.199;0.278;0.330
sg_50_x_inputs;0.192;0.266;0.329
sg_100_x_inputs;0.200;0.271;0.326
ks_100;0.107;0.179;0.226
ks_200;0.110;0.168;0.211
ks_500;0.156;0.215;0.266
random;0.055;0.115;0.164
