method;top5;top10;top15
grads;0.159;0.228;0.275
grads_x_inputs;0.145;0.219;0.278
ig_20;0.231;0.328;0.380
ig_50;0.231;0.327;0.381
ig_100;0.231;0.328;0.381
sg_20;0.158;0.214;0.261
sg_50;0.160;0.222;0.271
sg_100;0.155;0.214;0.266
sg_20_x_inputs;0.183;0.258;0.315
sg_50_x_inputs;0.195;0.271;0.321
sg_100_x_inputs;0.197;0.270;0.325
ks_100;0.084;0.141;0.203
ks_200;0.086;0.153;0.209
ks_500;0.117;0.178;0.229
random;0.049;0.107;0.166
