method;top5;top10;top15
grads;0.154;0.218;0.264
grads_x_inputs;0.161;0.237;0.286
ig_20;0.251;0.324;0.372
ig_50;0.252;0.322;0.373
ig_100;0.251;0.324;0.373
sg_20;0.149;0.212;0.264
sg_50;0.163;0.216;0.268
sg_100;0.154;0.214;0.264
sg_20_x_inputs;0.182;0.258;0.310
sg_50_x_inputs;0.190;0.262;0.319
sg_100_x_inputs;0.187;0.258;0.310
ks_100;0.091;0.152;0.215
ks_200;0.081;0.139;0.192
ks_500;0.121;0.190;0.240
random;0.048;0.110;0.166
