method;top5;top10;top15
grads;0.158;0.223;0.265
grads_x_inputs;0.148;0.226;0.280
ig_20;0.248;0.333;0.387
ig_50;0.248;0.333;0.388
ig_100;0.247;0.333;0.387
sg_20;0.158;0.218;0.265
sg_50;0.156;0.221;0.270
sg_100;0.161;0.217;0.256
sg_20_x_inputs;0.195;0.266;0.320
sg_50_x_inputs;0.196;0.281;0.333
sg_100_x_inputs;0.204;0.274;0.336
ks_100;0.083;0.149;0.206
ks_200;0.088;0.144;0.200
ks_500;0.118;0.191;0.238
random;0.055;0.111;0.172
