method;top1;top3;top5
grads;0.125;0.255;0.374
grads_x_inputs;0.123;0.237;0.354
ig_20;0.164;0.277;0.381
ig_50;0.177;0.278;0.381
ig_100;0.190;0.283;0.381
sg_20;0.118;0.245;0.363
sg_50;0.115;0.245;0.363
sg_100;0.104;0.249;0.363
sg_20_x_inputs;0.163;0.276;0.380
sg_50_x_inputs;0.185;0.280;0.384
sg_100_x_inputs;0.194;0.281;0.386
ks_100;0.210;0.277;0.369
ks_200;0.222;0.297;0.383
ks_500;0.241;0.306;0.387
relprop;0.132;0.257;0.370
random;0.069;0.195;0.330
