method;top1;top3;top5
grads;0.131;0.264;0.379
grads_x_inputs;0.104;0.246;0.364
ig_20;0.145;0.280;0.386
ig_50;0.185;0.305;0.395
ig_100;0.197;0.308;0.398
sg_20;0.108;0.246;0.366
sg_50;0.111;0.251;0.376
sg_100;0.109;0.251;0.368
sg_20_x_inputs;0.182;0.274;0.381
sg_50_x_inputs;0.183;0.277;0.381
sg_100_x_inputs;0.190;0.285;0.386
ks_100;0.201;0.277;0.372
ks_200;0.227;0.291;0.381
ks_500;0.231;0.312;0.390
relprop;0.121;0.262;0.379
random;0.076;0.191;0.332
