method;top1;top3;top5
grads;0.139;0.265;0.381
grads_x_inputs;0.103;0.236;0.354
ig_20;0.161;0.285;0.386
ig_50;0.162;0.298;0.391
ig_100;0.190;0.307;0.394
sg_20;0.126;0.250;0.359
sg_50;0.114;0.243;0.366
sg_100;0.118;0.250;0.369
sg_20_x_inputs;0.185;0.271;0.375
sg_50_x_inputs;0.183;0.279;0.382
sg_100_x_inputs;0.199;0.285;0.385
ks_100;0.203;0.273;0.366
ks_200;0.223;0.293;0.378
ks_500;0.240;0.303;0.381
relprop;0.122;0.273;0.393
random;0.073;0.198;0.333
