method;top1;top3;top5
grads;0.130;0.261;0.379
grads_x_inputs;0.112;0.239;0.361
ig_20;0.165;0.276;0.380
ig_50;0.207;0.289;0.393
ig_100;0.226;0.309;0.402
sg_20;0.111;0.233;0.364
sg_50;0.114;0.241;0.351
sg_100;0.122;0.242;0.361
sg_20_x_inputs;0.165;0.266;0.374
sg_50_x_inputs;0.178;0.273;0.373
sg_100_x_inputs;0.189;0.277;0.378
ks_100;0.205;0.266;0.366
ks_200;0.202;0.276;0.368
ks_500;0.227;0.294;0.379
relprop;0.152;0.282;0.395
random;0.066;0.212;0.334
