method;top1;top3;top5
grads;0.164;0.269;0.374
grads_x_inputs;0.105;0.228;0.339
ig_20;0.288;0.371;0.466
ig_50;0.310;0.378;0.469
ig_100;0.315;0.389;0.470
sg_20;0.138;0.250;0.364
sg_50;0.142;0.246;0.356
sg_100;0.124;0.250;0.358
sg_20_x_inputs;0.362;0.404;0.457
sg_50_x_inputs;0.367;0.423;0.471
sg_100_x_inputs;0.383;0.423;0.476
ks_100;0.324;0.363;0.426
ks_200;0.378;0.384;0.440
ks_500;0.417;0.433;0.477
relprop;0.340;0.400;0.477
random;0.054;0.199;0.324
