method;top1;top3;top5
grads;0.143;0.273;0.376
grads_x_inputs;0.095;0.220;0.331
ig_20;0.267;0.361;0.455
ig_50;0.287;0.376;0.464
ig_100;0.294;0.378;0.468
sg_20;0.118;0.238;0.354
sg_50;0.135;0.245;0.353
sg_100;0.147;0.241;0.357
sg_20_x_inputs;0.348;0.394;0.452
sg_50_x_inputs;0.374;0.409;0.463
sg_100_x_inputs;0.385;0.428;0.470
ks_100;0.335;0.364;0.430
ks_200;0.391;0.406;0.461
ks_500;0.428;0.440;0.484
relprop;0.338;0.399;0.473
random;0.058;0.193;0.326
