method;top1;top3;top5
sg_20_0.075_x_inputs;0.342;0.394;0.466
sg_50_0.075_x_inputs;0.376;0.410;0.473
sg_100_0.075_x_inputs;0.388;0.417;0.480
sg_20_0.025_x_inputs;0.315;0.375;0.439
sg_50_0.025_x_inputs;0.324;0.372;0.439
sg_100_0.025_x_inputs;0.320;0.386;0.442
sg_20_0.01_x_inputs;0.152;0.256;0.356
sg_50_0.01_x_inputs;0.147;0.255;0.355
sg_100_0.01_x_inputs;0.150;0.257;0.357
sg_20_0.075;0.110;0.222;0.345
sg_50_0.075;0.110;0.228;0.348
sg_100_0.075;0.116;0.234;0.355
sg_20_0.025;0.144;0.273;0.373
sg_50_0.025;0.163;0.259;0.374
sg_100_0.025;0.162;0.261;0.367
sg_20_0.01;0.144;0.264;0.369
sg_50_0.01;0.160;0.264;0.375
sg_100_0.01;0.148;0.266;0.371
random;0.054;0.199;0.324
